product_id,product_name,category,subcategory,formality,season,materials,size,color,brand_tier,price,stock,release_date
36,Diesel T-Shirt,Shirts,T-Shirt,Formal,Summer,"Linen, Cotton",XS,Blue,Premium,489.05,0,2022-03-26
37,Levi's Maxi,Dresses,Maxi,Beach,Winter,"Denim, Polyester",L,Blue,Premium,266.26,0,2024-01-14
38,Uniqlo Parka,Outerwear,Parka,Formal,Summer,Leather,XL,Purple,Fast Fashion,93.56,32,2024-03-27
39,Boss Polo,Shirts,Polo,Formal,Winter,"Polyester, Cotton, Linen",L,Blue,Premium,402.75,0,2023-04-22
40,Mango Midi,Dresses,Midi,Athletic,Winter,"Nylon, Linen",S,Navy,Fast Fashion,41.92,8,2024-08-12
41,Tommy Hilfiger Jeans,Pants,Jeans,Beach,Summer,"Denim, Cotton",L,Gray,Premium,165.75,0,2024-06-29
42,Tommy Hilfiger Parka,Outerwear,Parka,Athletic,Winter,"Denim, Chiffon, Tweed",L,Lime,Premium,98.97,0,2023-11-11
43,Gap Dress Shirt,Shirts,Dress Shirt,Formal,All-Season,"Spandex, Chiffon",M,Olive,Fast Fashion,103.99,19,2023-04-17
44,Zara Oxford,Shirts,Oxford,Beach,Summer,"Polyester, Cotton",XS,Navy,Fast Fashion,111.76,60,2024-05-01
45,H&M Midi,Dresses,Midi,Athletic,Summer,Silk,XS,Blue,Fast Fashion,99.79,77,2024-01-23
46,Gap Mini,Dresses,Mini,Beach,Winter,"Chiffon, Satin",L,Fuchsia,Fast Fashion,100.26,34,2022-05-06
47,H&M Maxi,Dresses,Maxi,Office,Fall,"Wool, Cashmere, Velvet",M,Navy,Fast Fashion,77.88,87,2024-02-20
48,Louis Vuitton Mini,Dresses,Mini,Athletic,Winter,"Silk, Chiffon, Satin",XL,Aqua,Luxury,890.37,0,2024-02-06
49,Gap Blouse,Shirts,Blouse,Casual,Spring,"Rayon, Leather, Cashmere",M,Navy,Fast Fashion,120.31,64,2022-05-16
50,Versace Windbreaker,Outerwear,Windbreaker,Office,Spring,"Polyester, Wool",L,Blue,Luxury,2930.79,3,2024-11-24
51,Zara Jacket,Outerwear,Jacket,Formal,Winter,Wool,L,Navy,Fast Fashion,102.0,79,2022-08-27
52,Uniqlo Jeans,Pants,Jeans,Casual,Spring,Chiffon,L,Maroon,Fast Fashion,54.5,0,2024-10-30
53,Gap Cocktail,Dresses,Cocktail,Casual,Spring,Satin,S,Fuchsia,Fast Fashion,90.65,40,2024-11-08
54,Calvin Klein Wedding,Dresses,Wedding,Beach,Winter,Cashmere,S,Silver,Premium,210.77,3,2024-02-01
55,Zara Slacks,Pants,Slacks,Office,Fall,Spandex,S,Green,Fast Fashion,119.33,47,2022-11-17
56,Calvin Klein T-Shirt,Shirts,T-Shirt,Office,Summer,"Linen, Polyester, Cotton",M,Purple,Premium,487.6,0,2023-12-15
57,Gucci Mini,Dresses,Mini,Office,Winter,"Silk, Satin",L,Black,Luxury,1293.55,0,2022-11-08
58,Tommy Hilfiger Leggings,Pants,Leggings,Office,Fall,Denim,S,Gray,Premium,468.76,0,2023-06-20
59,Calvin Klein Cargo,Pants,Cargo,Formal,Summer,"Wool, Denim",L,Teal,Premium,86.67,0,2023-01-22
60,Zara Oxford,Shirts,Oxford,Office,Spring,"Cotton, Polyester",S,Fuchsia,Fast Fashion,28.96,39,2022-08-15
61,Diesel Jeans,Pants,Jeans,Formal,Fall,Denim,S,Fuchsia,Premium,407.02,0,2022-10-25
62,Mango Coat,Outerwear,Coat,Party,Fall,Polyester,XL,Lime,Fast Fashion,81.63,0,2022-05-25
63,Zara Leggings,Pants,Leggings,Formal,Fall,Wool,S,Teal,Fast Fashion,63.58,54,2024-03-10
64,Uniqlo Maxi,Dresses,Maxi,Formal,Winter,Chiffon,XS,Maroon,Fast Fashion,79.66,65,2023-01-02
65,Gap Midi,Dresses,Midi,Beach,Fall,"Silk, Chiffon, Satin",XL,White,Fast Fashion,96.1,15,2024-11-02
66,Mango Maxi,Dresses,Maxi,Party,Fall,Satin,M,Aqua,Fast Fashion,81.51,0,2022-01-23
67,H&M Cocktail,Dresses,Cocktail,Office,Summer,"Polyester, Rayon, Leather",S,Navy,Fast Fashion,62.53,0,2023-04-01
68,Uniqlo Midi,Dresses,Midi,Party,All-Season,Linen,M,Olive,Fast Fashion,41.58,12,2022-07-07
69,H&M Coat,Outerwear,Coat,Formal,Fall,Silk,XL,Purple,Fast Fashion,46.69,69,2023-06-05
70,Zara Coat,Outerwear,Coat,Party,Summer,"Leather, Wool",M,Gray,Fast Fashion,35.02,11,2023-10-20
71,Zara Wedding,Dresses,Wedding,Athletic,Spring,Satin,L,Teal,Fast Fashion,39.64,48,2023-10-10
72,Mango Dress Shirt,Shirts,Dress Shirt,Party,Winter,Polyester,L,Olive,Fast Fashion,69.46,2,2024-05-19
73,Uniqlo Dress Shirt,Shirts,Dress Shirt,Office,Winter,Linen,S,Silver,Fast Fashion,96.55,11,2023-08-04
74,Uniqlo Dress Shirt,Shirts,Dress Shirt,Party,Spring,Tweed,XL,White,Fast Fashion,76.2,0,2022-09-06
75,Prada Blouse,Shirts,Blouse,Casual,Summer,"Denim, Cashmere",XL,Aqua,Luxury,529.57,0,2023-10-18
76,Gap Maxi,Dresses,Maxi,Beach,Spring,"Silk, Satin",XL,Gray,Fast Fashion,31.38,80,2024-05-11
77,Balenciaga Midi,Dresses,Midi,Party,All-Season,Polyester,XS,Silver,Luxury,1073.26,0,2024-07-27
78,Zara Jacket,Outerwear,Jacket,Formal,Summer,"Wool, Polyester, Leather",S,Yellow,Fast Fashion,50.2,24,2023-02-12
79,Prada T-Shirt,Shirts,T-Shirt,Beach,Spring,"Velvet, Rayon",XL,Purple,Luxury,629.37,1,2023-07-11
80,H&M Leggings,Pants,Leggings,Formal,Spring,"Rayon, Linen, Velvet",M,Fuchsia,Fast Fashion,81.98,13,2023-05-19
81,Mango Midi,Dresses,Midi,Formal,Summer,Cotton,L,Gray,Fast Fashion,22.51,13,2024-02-12
82,Zara Blazer,Outerwear,Blazer,Athletic,Winter,Wool,S,Yellow,Fast Fashion,52.88,13,2022-08-03
83,H&M Jacket,Outerwear,Jacket,Office,Fall,Leather,S,Yellow,Fast Fashion,75.0,45,2023-12-11
84,Zara Midi,Dresses,Midi,Casual,Winter,Silk,S,Purple,Fast Fashion,80.41,1,2022-10-20
85,Zara Mini,Dresses,Mini,Casual,Summer,Denim,M,Fuchsia,Fast Fashion,101.1,21,2022-12-12
86,H&M Mini,Dresses,Mini,Formal,Summer,"Cotton, Rayon, Linen",L,Gray,Fast Fashion,114.57,0,2022-06-02
87,Zara Polo,Shirts,Polo,Formal,Winter,Denim,XS,Aqua,Fast Fashion,65.32,0,2023-09-03
88,Gap Chinos,Pants,Chinos,Athletic,Summer,Spandex,S,Yellow,Fast Fashion,31.98,13,2022-11-14
89,Boss Chinos,Pants,Chinos,Casual,Winter,"Wool, Denim",S,Fuchsia,Premium,163.64,0,2023-11-08
90,Versace Blouse,Shirts,Blouse,Office,Winter,"Linen, Polyester",XS,Teal,Luxury,1327.14,0,2023-03-13
91,H&M Jacket,Outerwear,Jacket,Athletic,All-Season,"Satin, Denim",S,Teal,Fast Fashion,70.58,48,2024-03-08
92,H&M Chinos,Pants,Chinos,Casual,Summer,Cotton,S,White,Fast Fashion,67.2,79,2023-10-06
93,Diesel Jeans,Pants,Jeans,Formal,Summer,"Velvet, Leather",M,Green,Premium,126.19,0,2023-10-20
94,Mango Oxford,Shirts,Oxford,Athletic,Summer,Polyester,S,White,Fast Fashion,30.0,0,2024-02-05
95,Calvin Klein Blouse,Shirts,Blouse,Casual,Fall,"Silk, Spandex, Nylon",XS,Silver,Premium,335.9,0,2024-11-17
96,Zara Cargo,Pants,Cargo,Party,Spring,"Polyester, Linen",S,Black,Fast Fashion,117.26,61,2022-08-24
97,Zara Jacket,Outerwear,Jacket,Office,Summer,Leather,M,Purple,Fast Fashion,114.98,0,2022-04-02
98,Mango Blazer,Outerwear,Blazer,Casual,Summer,Leather,L,Yellow,Fast Fashion,71.51,45,2022-12-20
99,Zara Cocktail,Dresses,Cocktail,Casual,Summer,Satin,M,White,Fast Fashion,64.9,0,2022-11-01
100,H&M Coat,Outerwear,Coat,Beach,Winter,Leather,L,Black,Fast Fashion,43.76,74,2023-05-23
101,Mango Cargo,Pants,Cargo,Athletic,Winter,"Nylon, Tweed",S,Green,Fast Fashion,94.32,2,2022-06-17
102,Levi's Chinos,Pants,Chinos,Office,Spring,"Nylon, Silk",L,Maroon,Premium,256.61,0,2024-11-18
103,Tommy Hilfiger Midi,Dresses,Midi,Athletic,Summer,"Satin, Chiffon",S,Lime,Premium,305.96,1,2024-04-09
104,Mango Slacks,Pants,Slacks,Athletic,Fall,Cotton,XS,Lime,Fast Fashion,80.08,87,2024-10-09
105,Diesel Leggings,Pants,Leggings,Formal,Winter,"Denim, Wool",S,Lime,Premium,200.04,0,2023-10-22
106,Tommy Hilfiger Wedding,Dresses,Wedding,Party,Spring,"Chiffon, Silk",M,Purple,Premium,344.52,0,2022-02-07
107,Uniqlo Blouse,Shirts,Blouse,Beach,Summer,Denim,S,Teal,Fast Fashion,102.2,44,2024-06-04
108,Diesel Dress Shirt,Shirts,Dress Shirt,Beach,Summer,Polyester,L,Olive,Premium,316.24,1,2024-06-11
109,Prada Oxford,Shirts,Oxford,Beach,Summer,"Polyester, Cotton",S,Fuchsia,Luxury,2500.58,0,2024-05-10
110,H&M Parka,Outerwear,Parka,Casual,Spring,Spandex,S,Olive,Fast Fashion,33.08,0,2024-06-08
111,Versace Maxi,Dresses,Maxi,Formal,Summer,Chiffon,S,Green,Luxury,1762.15,0,2023-06-19
112,Uniqlo Mini,Dresses,Mini,Beach,Winter,Velvet,S,Teal,Fast Fashion,56.24,53,2023-05-26
113,Uniqlo Dress Shirt,Shirts,Dress Shirt,Athletic,Fall,"Spandex, Velvet, Tweed",S,Gray,Fast Fashion,64.81,54,2023-11-22
114,Levi's Midi,Dresses,Midi,Casual,Spring,Silk,S,White,Premium,466.61,3,2024-01-26
115,Mango Cargo,Pants,Cargo,Beach,Spring,Denim,S,White,Fast Fashion,105.04,9,2023-12-18
116,H&M Jeans,Pants,Jeans,Formal,Spring,Denim,M,Gray,Fast Fashion,42.41,17,2022-09-20
117,Uniqlo T-Shirt,Shirts,T-Shirt,Office,Summer,Cotton,M,White,Fast Fashion,74.6,16,2023-08-13
118,H&M Leggings,Pants,Leggings,Formal,Summer,Wool,S,Silver,Fast Fashion,82.55,51,2023-09-26
119,Zara Leggings,Pants,Leggings,Beach,Winter,"Denim, Wool",S,Silver,Fast Fashion,57.72,72,2024-01-22
120,Diesel Chinos,Pants,Chinos,Formal,Fall,"Wool, Cotton, Denim",L,Purple,Premium,492.16,1,2022-11-27
121,Diesel Blouse,Shirts,Blouse,Office,Spring,Linen,S,Teal,Premium,430.6,3,2023-09-27
122,H&M Oxford,Shirts,Oxford,Formal,All-Season,"Chiffon, Spandex",L,Black,Fast Fashion,96.09,76,2023-09-10
123,Diesel Jacket,Outerwear,Jacket,Party,Summer,"Polyester, Wool, Leather",L,Silver,Premium,200.06,0,2022-11-06
124,Zara Windbreaker,Outerwear,Windbreaker,Office,Summer,Leather,M,Aqua,Fast Fashion,39.69,8,2023-11-23
125,Diesel Cargo,Pants,Cargo,Office,All-Season,"Leather, Chiffon",XL,Lime,Premium,177.04,0,2024-10-31
126,H&M Coat,Outerwear,Coat,Party,Summer,Wool,M,Yellow,Fast Fashion,21.25,84,2023-12-26
127,Mango Maxi,Dresses,Maxi,Casual,Winter,Cashmere,S,Lime,Fast Fashion,85.62,51,2024-04-06
128,Diesel Windbreaker,Outerwear,Windbreaker,Party,Spring,"Polyester, Wool",XL,Purple,Premium,428.79,0,2023-05-26
129,Diesel Dress Shirt,Shirts,Dress Shirt,Office,Summer,Cotton,S,Teal,Premium,327.22,0,2023-05-10
130,Uniqlo Dress Shirt,Shirts,Dress Shirt,Office,Fall,"Rayon, Satin, Spandex",S,Aqua,Fast Fashion,70.84,53,2023-08-08
131,Calvin Klein Wedding,Dresses,Wedding,Party,Summer,Silk,L,Teal,Premium,289.89,0,2023-11-21
132,Mango Blouse,Shirts,Blouse,Beach,All-Season,"Rayon, Denim, Velvet",S,Yellow,Fast Fashion,50.76,73,2022-10-06
133,Uniqlo Cocktail,Dresses,Cocktail,Formal,Fall,Linen,M,Teal,Fast Fashion,50.46,57,2024-11-26
134,Diesel Windbreaker,Outerwear,Windbreaker,Formal,Summer,"Polyester, Wool",XS,Yellow,Premium,456.84,0,2022-11-15
135,Mango Midi,Dresses,Midi,Casual,Summer,"Silk, Satin",S,Silver,Fast Fashion,21.27,7,2023-12-30
136,Uniqlo Cargo,Pants,Cargo,Formal,Fall,"Denim, Cotton",XL,Teal,Fast Fashion,84.69,7,2024-06-05
137,Zara Jeans,Pants,Jeans,Formal,Fall,Chiffon,M,Gray,Fast Fashion,22.7,76,2024-05-06
138,Uniqlo Wedding,Dresses,Wedding,Party,Winter,Wool,M,Olive,Fast Fashion,55.08,74,2023-08-02
139,Tommy Hilfiger T-Shirt,Shirts,T-Shirt,Casual,Winter,"Linen, Polyester, Cotton",L,Teal,Premium,478.07,2,2023-01-27
140,Zara Parka,Outerwear,Parka,Party,Spring,"Leather, Polyester",M,Lime,Fast Fashion,65.61,65,2023-06-20
141,Uniqlo T-Shirt,Shirts,T-Shirt,Beach,Fall,"Cotton, Linen",L,Maroon,Fast Fashion,101.54,76,2024-05-09
142,Louis Vuitton Maxi,Dresses,Maxi,Formal,Winter,"Linen, Cotton, Tweed",M,Purple,Luxury,2131.25,0,2023-02-06
143,Louis Vuitton Chinos,Pants,Chinos,Party,Summer,"Leather, Velvet",XL,Lime,Luxury,2205.34,7,2024-03-11
144,Tommy Hilfiger T-Shirt,Shirts,T-Shirt,Office,Fall,"Cashmere, Satin",S,Yellow,Premium,85.03,0,2022-11-03
145,Levi's Maxi,Dresses,Maxi,Casual,Spring,Silk,L,Silver,Premium,249.23,0,2024-11-15
146,Gap Cargo,Pants,Cargo,Beach,Spring,"Cotton, Denim, Wool",XS,Gray,Fast Fashion,98.79,19,2023-04-07
147,Balenciaga Wedding,Dresses,Wedding,Party,Winter,"Silk, Satin, Chiffon",M,Green,Luxury,2185.67,0,2023-07-31
148,H&M Midi,Dresses,Midi,Formal,Summer,Silk,S,Silver,Fast Fashion,111.56,47,2024-10-02
149,Tommy Hilfiger Polo,Shirts,Polo,Casual,Summer,"Leather, Satin, Cashmere",S,Aqua,Premium,284.79,0,2023-03-27
150,Mango Windbreaker,Outerwear,Windbreaker,Formal,Spring,Polyester,L,Blue,Fast Fashion,81.42,40,2024-02-02
151,Mango Jacket,Outerwear,Jacket,Casual,Summer,"Polyester, Wool",S,White,Fast Fashion,96.65,78,2023-11-16
152,Gap Jacket,Outerwear,Jacket,Party,Winter,"Leather, Polyester",M,Green,Fast Fashion,116.06,16,2023-09-20
153,Uniqlo Blouse,Shirts,Blouse,Athletic,Summer,Linen,M,Navy,Fast Fashion,83.41,64,2024-12-21
154,Gap Cocktail,Dresses,Cocktail,Formal,Spring,Chiffon,L,Maroon,Fast Fashion,94.29,29,2023-07-29
155,Diesel Slacks,Pants,Slacks,Casual,Spring,"Nylon, Silk",L,Purple,Premium,417.48,0,2024-05-28
156,Gap Wedding,Dresses,Wedding,Casual,Spring,"Silk, Chiffon",L,Teal,Fast Fashion,70.16,0,2022-11-06
157,Uniqlo Leggings,Pants,Leggings,Casual,Spring,Tweed,XL,Navy,Fast Fashion,54.79,56,2022-08-02
158,Mango Midi,Dresses,Midi,Office,Winter,"Nylon, Denim",XS,Olive,Fast Fashion,24.07,87,2023-08-05
159,Mango Blouse,Shirts,Blouse,Beach,Winter,"Cotton, Polyester",M,Yellow,Fast Fashion,33.48,0,2022-09-07
160,Tommy Hilfiger Blouse,Shirts,Blouse,Party,Spring,"Cotton, Polyester",L,White,Premium,327.3,0,2024-11-24
161,Zara Chinos,Pants,Chinos,Office,Spring,"Wool, Denim",M,Aqua,Fast Fashion,84.98,24,2022-10-21
162,Gap Windbreaker,Outerwear,Windbreaker,Athletic,Winter,Wool,M,Navy,Fast Fashion,85.85,30,2022-08-23
163,H&M Jeans,Pants,Jeans,Athletic,Summer,"Cotton, Denim",S,Olive,Fast Fashion,90.5,9,2023-10-05
164,Gucci Windbreaker,Outerwear,Windbreaker,Athletic,Summer,Wool,XL,Purple,Luxury,1367.97,0,2023-10-08
165,Mango Midi,Dresses,Midi,Casual,Fall,"Chiffon, Silk",S,Fuchsia,Fast Fashion,57.02,38,2022-08-09
166,Zara Chinos,Pants,Chinos,Party,Summer,Cotton,XS,Green,Fast Fashion,29.01,87,2023-08-22
167,Mango Coat,Outerwear,Coat,Office,Winter,"Polyester, Wool",M,Green,Fast Fashion,75.1,29,2023-10-21
168,Levi's Parka,Outerwear,Parka,Casual,Summer,Cotton,S,Gray,Premium,323.53,0,2024-03-31
169,H&M Cocktail,Dresses,Cocktail,Athletic,Fall,"Velvet, Nylon",S,Aqua,Fast Fashion,60.46,28,2022-03-23
170,Uniqlo Midi,Dresses,Midi,Office,Spring,Cotton,L,Maroon,Fast Fashion,66.04,18,2023-12-22
171,Calvin Klein Chinos,Pants,Chinos,Party,Fall,Cotton,S,Navy,Premium,292.38,8,2024-01-11
172,Uniqlo Wedding,Dresses,Wedding,Beach,All-Season,Nylon,L,Navy,Fast Fashion,115.31,36,2022-12-17
173,Uniqlo Mini,Dresses,Mini,Formal,Summer,Satin,L,Aqua,Fast Fashion,105.85,48,2023-03-12
174,Gap Oxford,Shirts,Oxford,Beach,Winter,"Polyester, Cotton",S,Navy,Fast Fashion,74.15,50,2022-11-07
175,Gap Oxford,Shirts,Oxford,Casual,All-Season,Linen,L,Olive,Fast Fashion,30.94,80,2022-08-18
176,Mango Cocktail,Dresses,Cocktail,Party,Fall,Silk,M,Yellow,Fast Fashion,47.15,45,2022-10-13
177,Zara Leggings,Pants,Leggings,Beach,Spring,"Chiffon, Linen",L,Yellow,Fast Fashion,70.52,79,2023-10-20
178,H&M Polo,Shirts,Polo,Casual,Winter,Polyester,M,Olive,Fast Fashion,68.94,66,2023-07-25
179,Levi's Windbreaker,Outerwear,Windbreaker,Office,Winter,Satin,L,Gray,Premium,110.85,0,2023-11-23
180,H&M Mini,Dresses,Mini,Casual,Spring,"Velvet, Leather",S,Green,Fast Fashion,76.9,60,2024-07-28
181,Zara T-Shirt,Shirts,T-Shirt,Beach,Fall,Linen,S,Silver,Fast Fashion,78.23,9,2024-07-23
182,Uniqlo Chinos,Pants,Chinos,Party,Winter,Cotton,S,Maroon,Fast Fashion,66.16,1,2023-12-29
183,Uniqlo Mini,Dresses,Mini,Athletic,Fall,"Linen, Leather, Rayon",M,Purple,Fast Fashion,33.2,44,2024-11-23
184,Mango T-Shirt,Shirts,T-Shirt,Athletic,Winter,Cotton,M,Fuchsia,Fast Fashion,21.66,64,2022-10-03
185,Zara Blazer,Outerwear,Blazer,Formal,Spring,"Rayon, Silk",S,Aqua,Fast Fashion,103.53,49,2022-09-07
186,Gucci Cargo,Pants,Cargo,Casual,Winter,"Cotton, Denim",M,Gray,Luxury,2225.99,0,2024-07-14
187,Diesel T-Shirt,Shirts,T-Shirt,Formal,Winter,"Cotton, Polyester, Linen",XS,Olive,Premium,239.18,0,2022-09-25
188,Gap Polo,Shirts,Polo,Beach,Winter,"Polyester, Linen",L,Green,Fast Fashion,31.61,64,2023-11-10
189,Louis Vuitton Oxford,Shirts,Oxford,Beach,Summer,"Cotton, Linen",S,Olive,Luxury,1723.47,0,2023-11-04
190,Uniqlo Blouse,Shirts,Blouse,Formal,Summer,"Velvet, Satin",S,Silver,Fast Fashion,17.55,18,2023-04-21
191,Gap Cocktail,Dresses,Cocktail,Party,Summer,"Silk, Chiffon",XS,Blue,Fast Fashion,116.42,11,2024-01-26
192,Levi's Cargo,Pants,Cargo,Beach,Fall,"Denim, Cotton",S,Gray,Premium,344.89,0,2022-08-21
193,Boss Jacket,Outerwear,Jacket,Casual,Summer,Polyester,M,Yellow,Premium,439.88,0,2023-06-24
194,Calvin Klein Jeans,Pants,Jeans,Formal,Fall,Denim,M,Teal,Premium,404.62,0,2022-05-03
195,H&M Blazer,Outerwear,Blazer,Casual,Spring,"Polyester, Wool",S,Purple,Fast Fashion,50.99,0,2022-12-11
196,Gap Polo,Shirts,Polo,Formal,Fall,"Cotton, Linen",S,Black,Fast Fashion,24.22,0,2024-03-19
197,Tommy Hilfiger Polo,Shirts,Polo,Office,Summer,"Nylon, Spandex",M,Fuchsia,Premium,226.16,0,2024-07-18
198,H&M Blouse,Shirts,Blouse,Beach,Fall,"Cotton, Linen, Polyester",S,Gray,Fast Fashion,108.34,10,2023-12-15
199,Calvin Klein Oxford,Shirts,Oxford,Beach,Winter,"Polyester, Cotton, Linen",S,Blue,Premium,118.01,9,2022-09-05
200,Zara Slacks,Pants,Slacks,Office,Fall,Cotton,XS,Aqua,Fast Fashion,102.47,67,2023-11-13
201,Levi's Coat,Outerwear,Coat,Party,Spring,Chiffon,M,White,Premium,283.55,11,2023-09-01
202,Prada Parka,Outerwear,Parka,Athletic,Fall,Polyester,L,Green,Luxury,1565.3,0,2023-04-26
203,Louis Vuitton Polo,Shirts,Polo,Athletic,Fall,Linen,XS,Green,Luxury,1386.82,0,2023-02-02
204,Calvin Klein Mini,Dresses,Mini,Office,Spring,Wool,XS,Teal,Premium,212.15,0,2023-01-01
205,Mango Midi,Dresses,Midi,Formal,All-Season,"Silk, Satin",L,Olive,Fast Fashion,102.81,21,2023-08-28
206,Uniqlo Polo,Shirts,Polo,Casual,Summer,"Cotton, Linen",M,Teal,Fast Fashion,53.14,68,2023-10-07
207,Gap T-Shirt,Shirts,T-Shirt,Casual,Spring,Leather,M,Blue,Fast Fashion,97.65,2,2024-06-07
208,Zara Maxi,Dresses,Maxi,Office,All-Season,Satin,XS,Black,Fast Fashion,104.95,41,2023-06-17
209,Zara Mini,Dresses,Mini,Formal,Summer,Satin,L,Olive,Fast Fashion,76.25,0,2023-09-02
210,H&M Oxford,Shirts,Oxford,Beach,Fall,"Polyester, Cotton",S,Maroon,Fast Fashion,21.03,0,2022-12-04
211,Zara Windbreaker,Outerwear,Windbreaker,Casual,Fall,"Wool, Polyester",XL,Fuchsia,Fast Fashion,85.83,65,2023-07-01
212,Levi's Cocktail,Dresses,Cocktail,Casual,Summer,Satin,L,Aqua,Premium,456.51,12,2023-10-06
213,Versace Windbreaker,Outerwear,Windbreaker,Casual,Spring,Polyester,S,Lime,Luxury,648.75,7,2023-12-04
214,Uniqlo Wedding,Dresses,Wedding,Casual,Winter,Chiffon,M,Olive,Fast Fashion,41.85,0,2024-01-27
215,Uniqlo T-Shirt,Shirts,T-Shirt,Office,Fall,Cotton,S,Green,Fast Fashion,99.29,75,2023-11-24
216,Prada Slacks,Pants,Slacks,Formal,Summer,"Cotton, Denim, Wool",XS,Yellow,Luxury,2375.18,0,2023-07-26
217,H&M Chinos,Pants,Chinos,Athletic,All-Season,"Polyester, Silk",M,Yellow,Fast Fashion,76.95,1,2023-08-23
218,H&M Blazer,Outerwear,Blazer,Office,Summer,"Wool, Polyester",M,Silver,Fast Fashion,71.77,0,2024-10-15
